Date,Open,High,Low,Close,Volume,Adj Close
1994/1/21,33.25,33.499999,32.25,33.375,245033600,1.082046
1994/1/20,29.500001,30.75,29.500001,29.875,67020800,0.968573
1994/1/19,29.249999,29.75,28.75,29.249999,70397600,0.94831
1994/1/18,30.250001,30.250001,29,29.375001,90700400,0.952363
1994/1/17,30.999999,31.5,29.999999,30.375001,36428000,0.984784
1994/1/14,30.75,31.749999,30.5,30.999999,53628400,1.005047
1994/1/13,29.999999,30.75,29.75,30.625,132899200,0.992889
1994/1/12,32.25,32.25,30.5,30.5,109779600,0.988836
1994/1/11,33.499999,33.750001,31.749999,31.874999,88849600,1.033415
1994/1/10,33.000001,33.875001,32.749999,33.624999,50397200,1.090151
1994/1/7,32.000001,33.25,31.250001,33.125,74698400,1.073941
1994/1/6,33.750001,34,32.5,32.749999,91627200,1.061783
1994/1/5,31.749999,33.875001,31.749999,33.750001,153034000,1.094204
1994/1/4,30.250001,31.5,29.999999,31.5,71293600,1.021257
1994/1/3,29.500001,29.999999,29,29.875,45382400,0.968573
1993/12/31,29.75,30.250001,29.249999,29.249999,40241600,0.94831
1993/12/30,28.500001,30.250001,28.500001,29.75,78638000,0.964521
1993/12/29,29.249999,29.249999,28.500001,28.500001,26838000,0.923995
1993/12/28,28.75,29.500001,28.500001,29.124999,39874800,0.944258
1993/12/27,27.749999,28.75,27.25,28.500001,39984000,0.923995
1993/12/23,27.25,27.25,26.500001,27.25,56739200,0.883469
1993/12/22,27.25,28.500001,27,28,45343200,0.907784
1993/12/21,28.500001,28.75,27.25,27.5,62781600,0.891574
1993/12/20,29.249999,29.75,28.249999,28.500001,47258400,0.923995
1993/12/17,29.500001,29.75,29.124999,29.500001,36288000,0.956415
1993/12/16,29.500001,29.75,29,29.375001,31592400,0.952363
1993/12/15,29,29.75,29,29.75,30970800,0.964521
1993/12/14,29.249999,29.75,29,29.124999,73416000,0.944258
1993/12/13,28.249999,29.500001,27.749999,29.500001,61082000,0.956415
1993/12/10,30.250001,30.5,27.749999,28.249999,124314400,0.915889
